GGX prefiltered radiance against SH-convolved specular; 300 reflection directions; RMS / mean | median relative error
env       p.rough  L2 zonal convolution   L1 only          (band weights k1, k2)
room      0.4      1.221 | 1.351          1.589 | 1.584    (0.918, 0.784)
room      0.6      0.471 | 0.482          0.848 | 0.976    (0.815, 0.545)
room      0.8      0.136 | 0.131          0.486 | 0.579    (0.725, 0.360)
room      1.0      0.057 | 0.063          0.329 | 0.394    (0.667, 0.250)
sun+sky   0.4      0.753 | 0.412          0.881 | 0.437    (0.918, 0.784)
sun+sky   0.6      0.252 | 0.201          0.410 | 0.297    (0.815, 0.545)
sun+sky   0.8      0.132 | 0.086          0.249 | 0.206    (0.725, 0.360)
sun+sky   1.0      0.144 | 0.065          0.204 | 0.163    (0.667, 0.250)
studio    0.4      1.802 | 3.657          1.992 | 3.981    (0.918, 0.784)
studio    0.6      0.639 | 0.740          0.869 | 1.038    (0.815, 0.545)
studio    0.8      0.175 | 0.160          0.427 | 0.409    (0.725, 0.360)
studio    1.0      0.094 | 0.077          0.287 | 0.247    (0.667, 0.250)
